,amount,brick_size,num_created_bars,price,rebuilding_status,renko_price
2020-07-11 19:20:00,117318.43575418994,5.154829705871229e-05,4.7,0.0179,0,0.017863934673528415
2020-07-11 19:20:00,117318.43575418994,5.43462744226706e-05,0.0,0.0176,1,0.01766303882326801
2020-07-11 19:21:00,117318.43575418994,5.43462744226706e-05,0.0,0.0176,1,0.01766303882326801
2020-07-11 19:23:00,117318.43575418994,5.353527635955901e-05,0.0,0.0176,1,0.017653535276359558
2020-07-11 19:24:00,117318.43575418994,5.353527635955901e-05,4.6,0.0179,0,0.017867676381797804
2020-07-11 19:24:00,117318.43575418994,5.421807677421058e-05,0.0,0.0176,1,0.0177
2020-07-11 19:25:00,117318.43575418994,5.421807677421058e-05,1.8,0.0178,0,0.01775421807677421
2020-07-11 19:25:00,117318.43575418994,5.419376923995826e-05,0.0,0.0177,1,0.0177
2020-07-11 19:26:00,117318.43575418994,5.419376923995826e-05,3.7,0.0179,0,0.017862581307719873
2020-07-11 19:26:00,117318.43575418994,5.3488272704653496e-05,0.0,0.0177,1,0.017653488272704656
2020-07-11 19:27:00,117318.43575418994,5.3488272704653496e-05,4.6,0.0179,0,0.017867441363523275
2020-07-11 19:27:00,117318.43575418994,5.4241457450518015e-05,0.0,0.0177,1,0.0177
2020-07-11 19:28:00,117318.43575418994,5.4241457450518015e-05,3.7,0.0179,0,0.017862724372351556
2020-07-11 19:30:00,117318.43575418994,5.384808867227663e-05,0.0,0.0178,1,0.017869240443361384
2020-07-11 19:31:00+00:00,117318.43575418995,5.170949820411961e-05,0.0,0.0178,1,0.017855128494612363
2020-07-11 19:32:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:33:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:34:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:35:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:36:00+00:00,117318.43575418995,5.170949820411961e-05,0.0,0.0178,0,0.017855128494612363
2020-07-11 19:37:00+00:00,117318.43575418995,5.170949820411961e-05,0.0,0.0178,0,0.017855128494612363
2020-07-11 19:38:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:39:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:40:00+00:00,117318.43575418995,5.170949820411961e-05,0.0,0.0178,0,0.017855128494612363
2020-07-11 19:41:00+00:00,117318.43575418995,5.170949820411961e-05,0.0,0.0178,0,0.017855128494612363
2020-07-11 19:42:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:43:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:44:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:45:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:46:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:47:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:48:00+00:00,117318.43575418995,5.170949820411961e-05,0.9,0.0179,0,0.017855128494612363
2020-07-11 19:49:00+00:00,117318.43575418995,5.170949820411961e-05,2.8,0.018,0,0.017958547491020604
2020-07-11 19:50:00+00:00,117318.43575418995,5.170949820411961e-05,0.0,0.0179,0,0.017958547491020604
2020-07-11 19:51:00+00:00,117318.43575418995,5.170949820411961e-05,0.8,0.018,0,0.017958547491020604
2020-07-11 19:52:00+00:00,117318.43575418995,5.170949820411961e-05,0.0,0.0179,0,0.017958547491020604
2020-07-11 19:53:00+00:00,117318.43575418995,5.170949820411961e-05,0.0,0.0179,0,0.017958547491020604
2020-07-11 19:54:00+00:00,117318.43575418995,5.170949820411961e-05,0.0,0.0179,0,0.017958547491020604
2020-07-11 19:55:00+00:00,117318.43575418995,5.170949820411961e-05,0.0,0.0179,0,0.017958547491020604
2020-07-11 19:56:00+00:00,117318.43575418995,5.170949820411961e-05,0.0,0.0179,0,0.017958547491020604
2020-07-11 19:57:00+00:00,117318.43575418995,5.170949820411961e-05,0.0,0.0179,0,0.017958547491020604
2020-07-11 19:58:00+00:00,117318.43575418995,5.170949820411961e-05,-2.1,0.0178,0,0.017803418996408246
2020-07-11 19:59:00+00:00,0.0,5.1636155807855894e-05,0.0,0.0179,1,0.0179
2020-07-11 20:00:00+00:00,0.0,5.1636155807855894e-05,0.0,0.0179,0,0.0179
2020-07-11 20:01:00+00:00,0.0,5.1636155807855894e-05,0.0,0.0179,0,0.0179
2020-07-11 20:02:00+00:00,0.0,5.1636155807855894e-05,0.0,0.0179,0,0.0179
